lv,B,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Hg,Pb
GG,8.440487166,10.690648,17.65462382,9.042417257,19.56176645,15.62951287,0,4.898764617,0.707082992,4.868834899,13.04183246,11.11977051,2.590602019,7.759049279,10.86433861,13.58139697,-1.854648614,0.407080775,6.331212555,5.665549108,10.47186367,5.578546295,-2.780908942,8.540862279,1.338567037,7.823325838,1.994217647,7.547966439,1.175684271,5.34757707947572
GG,8.957042533,10.99674851,18.10611421,8.866523212,19.9900863,15.97211581,0,5.823239844,0.369047643,4.276906041,13.2942466,11.2901044,3.134467393,7.977234123,11.15862294,13.80528671,-1.687334826,0.290424404,6.750271516,5.733706836,11.00021202,6.36568379,-3.708396442,8.9374724,1.193456366,7.866493848,2.834104404,7.853044387,1.279471296,5.33674754674217
PJ-1,9.390479607,13.04835174,17.21098316,10.52844776,19.2012788,15.7219433,-3.358453971,5.613222218,1.592397235,4.457561461,12.59022738,11.56474779,1.457068911,6.929276165,10.86338989,13.21447273,-0.955955667,1.074505436,6.344082817,4.818160331,8.815386498,7.023332986,-2.657445255,8.40513508,0.834306703,2.288653864,-0.231921565,5.811535252,0.846794159,4.7432187295325
PJ-1,9.468925379,14.38365037,17.29789448,10.8344031,19.44457437,15.8835417,-4.336427665,6.239417137,1.884011738,4.804260116,12.82360568,11.94735933,1.659011171,7.320240959,11.15230513,13.33030762,-0.273168783,1.283921772,6.477984871,5.48602246,9.072581492,7.084643651,-1.778432211,8.746447139,1.27351589,3.283773644,-0.189351252,6.380764075,0.55875743,5.2960535430759
PJ-1,9.347054365,13.43225551,17.33800766,10.79292529,19.27422589,15.73652949,-6.442222329,6.071226363,1.663344619,4.336747547,12.61242496,11.83106453,1.346531462,6.921965866,10.78880559,13.17904135,-0.478949263,0.980390956,6.308020419,5.169624409,9.124224727,7.038748928,-2.430508908,8.431902881,0.674008609,2.775472012,-0.373327247,5.898014819,0.530570204,4.85262313719614
PJ-1,9.333887696,13.95809813,17.37511407,10.51467264,19.32457445,15.81409596,-6.717856771,5.864768059,1.423847055,3.838447593,12.78869845,11.73082928,1.60430859,6.700210811,10.99755211,13.30040976,-0.775959726,1.159306255,6.564721118,5.176582083,8.830047701,7.037135089,-2.518701058,8.479400345,0.952706308,3.231355602,-0.546877553,5.881456617,0.51551062,4.26596190789686
PJ-1,9.271032256,13.59679431,17.05376405,11.0334027,19.24348108,15.52697048,-2.826232932,5.99405921,1.775261292,5.429950657,12.3992814,11.76360723,1.508682179,6.529336844,10.58242805,13.03815261,-0.352915787,0.902266569,6.315511889,5.078332301,9.281547575,6.689166348,-2.411195433,8.341576641,0.591200673,2.278133471,-0.220109961,5.705977902,0.599793852,4.08189348602003
PJ-1,9.294570437,13.09479953,17.48795949,10.83639627,19.28785381,15.83693491,-2.308287184,6.510720659,1.680459392,4.409988258,12.7787379,11.83691268,1.700728228,6.843773478,11.01298035,13.34708545,0.051232872,0.887954116,6.347137658,5.052035432,8.968046819,7.034480407,-2.377069649,8.803643747,0.783708083,2.949927069,-0.472128946,5.955655719,0.651683181,4.32894773468535
PJ-1,9.523656042,13.34980652,17.39154551,10.82732802,19.29035745,15.80470471,-2.13606155,6.245353044,1.73920004,4.309794644,12.67083259,11.79969,1.910157004,6.782919604,10.93707804,13.37461698,-0.728574324,0.922197848,6.544531753,5.103623524,8.841169616,7.044945954,-2.49410907,8.576448444,0.886745225,2.882643049,-0.477944251,5.844887757,0.602646909,4.29939120612683
PJ-1,9.292939305,13.00510651,17.23782734,10.59432507,19.16651787,15.72860715,-1.971430848,5.933808662,1.386810946,3.901011674,12.53369705,11.69629013,1.674912553,6.901778014,10.9912646,13.15326519,1.055542748,0.901108243,6.404937173,5.322793452,8.79215257,6.84132532,-1.852042119,8.460253147,0.876173114,2.26933243,-0.702515084,5.375317514,0.578697238,4.07963411236871
PJ-1,9.422269799,13.20218154,17.38528048,11.54346205,19.21835781,15.79355071,-1.20756107,6.723981697,2.084744621,3.766754157,12.49432097,11.95780054,1.469625539,6.661193777,10.83108314,13.17835619,0.448900951,0.777787904,6.387879469,5.581637468,8.82039918,6.973594057,-1.248107862,8.251988863,0.773152397,3.157124576,-0.30222618,6.072556036,0.561203921,4.11420042237189
PJ-1,9.664823243,13.49686832,17.578221,11.48564494,19.3106112,15.82631749,-2.023269779,6.808681077,1.921436331,3.770881891,12.61520867,11.96684662,1.632035504,7.052122404,10.98974325,13.4157885,0.204140717,1.214746523,6.484524861,5.062747746,9.102932337,7.229438916,-1.637109357,8.359907655,1.168642036,2.678860663,-0.368662856,5.988309765,0.44148348,4.10760418388027
PJ-1,9.602369466,13.72094951,17.68102858,11.53572445,19.4726551,15.95547264,-1.200912694,6.579723229,2.327543662,5.122796941,12.85020159,12.11559691,1.780100084,6.741985994,11.3414396,13.57323054,0.502330602,1.167036722,6.63082771,5.144270753,8.815541807,7.337416744,-1.502259911,8.633215037,0.928275562,2.948974554,-0.329159664,6.162028721,0.66402766,3.97691347822467
