lv,B,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Hg,Pb
GG,347.408,1652.7445,206334.254,527.277,773888.6375,50693.49,0,29.8315,1.6325,29.219,8433.013,2225.279,6.0235,216.624,1864.197,12257.6685,0.2765,1.326,80.5165,50.7575,1420.1855,47.787,0.1455,372.4395,2.529,226.4935,3.984,187.139,2.259,40.7175
GG,496.9795,2043.3895,282152.2265,466.7555,1041395.247,64281.4925,0,56.62,1.2915,19.3855,10045.3945,2504.1485,8.7815,251.992,2286.021,14315.463,0.3105,1.223,107.655,53.213,2048.301,82.4635,0.0765,490.2835,2.287,233.373,7.131,231.2075,2.4275,40.413
PJ-1,671.1445,8471.2065,151712.7865,1476.9935,602782.832,54047.6135,0.0975,48.9495,3.0155,21.9715,6166.4625,3029.256,2.7455,121.8765,1862.9715,9505.012,0.5155,2.106,81.238,28.2105,450.501,130.087,0.1585,338.9985,1.783,4.886,0.8515,56.1625,1.7985,26.7825
PJ-1,708.648,21375.201,161133.225,1825.914,713510.1215,60453.6445,0.0495,75.553,3.691,27.94,7249.198,3949.24,3.158,159.813,2276.032,10299.6495,0.8275,2.435,89.139,44.8185,538.4175,135.7345,0.2915,429.48,2.4175,9.739,0.877,83.33,1.473,39.289
PJ-1,651.244,11053.8055,165676.294,1774.166,634045.0775,54596.827,0.0115,67.239,3.1675,20.2065,6262.0745,3643.387,2.543,121.2605,1769.107,9274.42,0.7175,1.973,79.2325,35.9925,558.04,131.4845,0.1855,345.347,1.5955,6.847,0.772,59.632,1.4445,28.8925
PJ-1,645.3275,15914.9845,169992.795,1462.958,656563.2385,57612.5685,0.0095,58.2735,2.683,14.305,7075.9025,3398.846,3.0405,103.9835,2044.528,10088.4,0.584,2.2335,94.6625,36.1665,455.1025,131.3375,0.1745,356.906,1.9355,9.3915,0.6845,58.9515,1.4295,19.239
PJ-1,617.8155,12389.1905,136048.738,2095.9705,620676.107,47215.42,0.141,63.737,3.423,43.11,5402.013,3476.9515,2.8455,92.369,1533.304,8411.5305,0.783,1.869,79.645,33.7855,622.335,103.1905,0.188,324.388,1.5065,4.8505,0.8585,52.2,1.5155,16.9345
PJ-1,627.9781,8748.3761,183823.2207,1828.43835,640062.7429,58531.8764,0.2019,91.18475,3.2053,21.2588,7027.2178,3658.1859,3.25065,114.86325,2066.5096,10420.1285,1.03615,1.85055,81.4102,33.17525,500.78475,131.09605,0.1925,446.84905,1.72155,7.7271,0.7209,62.06275,1.571,20.09755
PJ-1,736.048,10439.8005,171939.9795,1816.9815,641174.4655,57238.7565,0.2275,75.8645,3.3385,19.8325,6520.797,3565.009,3.7585,110.119,1960.598,10620.8895,0.6035,1.895,93.347,34.383,458.6245,132.0505,0.1775,381.7405,1.849,7.375,0.718,57.476,1.5185,19.69
PJ-1,627.2685,8221.0475,154562.128,1546.0005,588432.691,54297.8385,0.255,61.13,2.615,14.939,5929.5095,3318.4415,3.193,119.5755,2035.637,9110.1885,2.0785,1.8675,84.738,40.024,443.304,114.6685,0.277,352.2005,1.8355,4.821,0.6145,41.508,1.4935,16.908
PJ-1,686.0975,9424.377,171194.933,2984.89,609961.14,56797.929,0.433,105.711,4.242,13.6115,5769.8615,3977.9255,2.7695,101.209,1821.717,9270.0165,1.365,1.7145,83.742,47.8895,452.069,125.6785,0.421,304.857,1.709,8.9205,0.811,67.301,1.4755,17.318
PJ-1,811.7115,11560.1165,195691.423,2867.6335,650239.288,58102.696,0.246,112.103,3.788,13.6505,6274.169,4002.9465,3.0995,132.709,2033.4915,10928.354,1.152,2.321,89.544,33.4225,549.8645,150.0645,0.3215,328.536,2.248,6.4035,0.7745,63.4835,1.358,17.239
PJ-1,777.3225,13502.599,210145.434,2968.924,727533.9755,63544.1915,0.435,95.652,5.0195,34.843,7384.0755,4437.7015,3.4345,107.0385,2594.8575,12188.4795,1.4165,2.2455,99.101,35.3655,450.5495,161.727,0.353,397.0605,1.903,7.722,0.796,71.607,1.5845,15.746
PJ-1,812.2595,18778.318,221098.2825,3634.5105,815957.285,73859.7515,0.5895,183.0185,5.088,16.1325,7613.122,4866.7605,3.925,107.728,2425.3545,12780.561,1.375,2.265,104.1695,36.5385,545.681,168.4965,0.3745,413.1995,2.927,5.2225,0.798,77.2075,1.789,11.2995
PJ-2,421.2335,5513.9365,198644.8465,411.5155,694182.9095,54414.512,0,24.858,0.75,12.963,8972.0235,1614.305,2.3515,89.004,1779.4015,13147.896,0.128,2.1945,110.072,46.8755,953.163,91.296,0.037,372.256,1.3055,6.492,1.0995,62.0425,1.1725,6.695
PJ-2,440.132,5241.516,185642.895,348.0925,658450.731,55266.701,0,13.664,0.5635,9.8615,8909.107,1419.8155,1.9035,80.0825,1667.4105,11128.3125,0,1.793,118.1895,39.907,1030.721,96.209,0.0385,314.1635,1.012,12.7575,1.159,72.8205,1.3185,5.425
PJ-2,398.976,6448.693,171405.5625,338.287,675779.301,55751.5505,0,23.29,0.682,19.026,8261.157,1588.1545,2.2,97.6995,1821.744,11335.38,0.126,1.914,112.9235,43.627,1026.692,102.2865,0.058,334.3585,1.1665,8.038,1.129,75.547,1.2775,7.4765
