feature,score
Al,0.3607276679657497
B,0.35128252365284685
Rb,0.32367338561183634
Na,0.3202615714936923
V,0.3130797269119313
Fe,0.28922868590870104
Sr,0.2822534765360552
Ba,0.26604006125807605
Nb,0.2597349537415205
Mn,0.25492734301131525
Cd,0.23841900265362506
Ti,0.237850759101939
Co,0.21507639269374368
Ag,0.20186177150161866
K,0.18895607330577044
Ca,0.1869904932634282
Ga,0.18513795971021216
Cu,0.1659773443178131
Mg,0.15403019663333978
Ni,0.1489949448806647
As,0.14382442927854266
Cs,0.12651627841553714
Cr,0.11161978867386005
Ge,0.10001298137069008
Sc,0.09844988592001817
Hg,0.0980245472168614
Pb,0.09477959640696726
Mo,0.09160942643975564
Zn,0.0871772632788894
Se,0.0784774273005922
