feature,score,constant
Al,0.360727668,1
B,0.351282524,1
Rb,0.323673386,1
Na,0.320261571,1
V,0.313079727,1
Fe,0.289228686,1
Sr,0.282253477,1
Ba,0.266040061,1
Nb,0.259734954,1
Mn,0.254927343,1
Cd,0.238419003,1
Ti,0.237850759,1
Co,0.215076393,1
Ag,0.201861772,1
K,0.188956073,1
Ca,0.186990493,1
Ga,0.18513796,1
Cu,0.165977344,1
Mg,0.154030197,1
Ni,0.148994945,1
As,0.143824429,1
Cs,0.126516278,1
Cr,0.111619789,1
Ge,0.100012981,1
Sc,0.098449886,1
Hg,0.098024547,1
Pb,0.094779596,1
Mo,0.091609426,1
Zn,0.087177263,1
Se,0.078477427,1
